id,reviewContent
15,"The in-display fingerprint sensor is very bad. It is slow and many times it takes multiple attempts to scan the finger. This phone is big disappointment. I would not recommend this phone at all. They didn't give headphone jack which is okay as they were giving free bullets V2 for those who pre-booked the phone. But they should atleast have given IP rating as IP gives peace of mind and stereo speaker should have been there instead of dummy holes at bottom. Needless to say that Oneplus phones have good software and this one is no exception. This has good software which is fast and fluid. My point is that don't buy this phone for fingerprint sensor. If you are having other OnePlus phone then you should hold for next OnePlus phone.
106 people found this helpful"
16,Issue with the Camera Slow Motion Mode is Not Working in Home Black Shade is Moving from left to right Sound Quality is not that good
17,"Very nice and fantastic phn, the best smart phn till date, awesome camera good battery life"
18,"Battery-Extremely Poor
Camera-Satisfactory
Look-Good
Weight-Good
Sound-Superb
Overall I would have given it half star,deeply through by it's battery.
And even after the replacement,the same problem persists,which means it's a clear cut case of faulty manufacturing.
Please don't buy it,if you really love your hard earned money...."
19,I like its full display and picture quality is good but temperd glass should be given to all customers
20,mobile is very good and fast.but battery is draining like anythg..within two days of usage i found battery consumption is more than my old phone redmi note4
21,"Google Play does not work properly, apps are downloading after 3-4 attempts.. Very Heavy and does not fit well in hands
Very poor quality of preapplied screen guard. Bubbles came only after 30 minutes of usage
Camera is very ordinary"
22,"Used it for close to 45 days now, overall a very good phone but for this price point i would expect much better camera. Since Asus Zenfone 5Z also gives similar performance at almost less than 10K. Camera in night mode needs more improvement and does not capture the picture properly .. may be i need to do some tweeks in settings i am not sure. Please see the image i uploaded the fire is tarnished with grey .. same picture without night mode is much better. This is my first 1+ phone .. satisfied but because of camera giving 4 stars."
23,"Crisp picture quality, impactful sound and an impressive battery life makes it a worthy investment. A blind buy for those who plan to upgrade to OnePlus from others...
Fingerprint sensor, face unlock are exciting features but not indispensible.
All in all its a fair deal if the base variant itself is 128gb!! What more can u ask for!!
I'm happy...
N yes...Thank you Amazon for the On time delivery.."
24,"Bought the costliest one. 8gb 256gb model.
Received a phone with flickering screen, screen shows different colors every now and then... Battery drains fast and phone heats up even on normal usage. I have used OP3t for 2 years and never faced any problem. But This one didnt stay even for 2 days and I had to request for replacement. 1 day passed and no help, finally anazon says replacement not possible, only refund possible. I hope at least the refund process goes smooth.
50 people found this helpful
"
25,Brightness is very low. I was using OnePlus 5. 20% of brightness in OnePlus 5 is equal to 65% brightness in 6T which may cause in draining the battery. Not happy with it. Also unlocking with fingerprint is not up to the mark. Totally not so happy with it. Thinking to return it and use OnePlus 5 only
26,"First and foremost...I really dont miss those 3.5 mm jack. Using bluetooth earpiece and the sound quality is top notch.

Picture quality - initial shots taken are impressive.
Battery life is best among all one plus phones.

Build quality is superb. No issues with call clarity and now the best part...Oxygen OS. Its buttery smooth, fluidic and unputdownable. You will ne addicted to it.

Only con is the weight of the device."
27,"Phone is getting hanged and face unlock is not working. I received a phone on 8th November and logged a call with amazon on 9th november that my phone is getting hanged frequently and face unlock is not working properly.

 They have scheduled the technician visit on 11th November, however, technician not visited. I called amazon related technician, executive told me that technician not visited due to some personal reasons. They don't bother to inform customer if technician are not going to visit."
28,"Impressive at this price point. Only disappointment is absence 3.5 mm headphone jack. Had Oneplus supplied bullets headphone as default accessory, it would have been a complete package. Apple, learn from it, else your days are numbered."
29,"I pre-ordered the phone on 9th Oct and literally waited for more than a month for this phone. It was worth waiting.
Phone looks similar to one plus 6 however the technology you get in this phone is updated and is latest. The notch looks beautiful compared to other waterdrop notch phones. I'm not an audiphile so can't complain much about the removal of headphone jack. I'm pretty comfortable with wireless earphones. The OS is something which needs to be considered the most on a phone, which most of the people ignore. I migrated from a Sony phone and see a huge difference in the usage, the OS is smooth as butter and is calibrated for daily driver. You can perform many tasks at a snap of your fingers and never experience a lag on the phone. Camera is good, clicks are clear. Portrait and night mode are very useful and handy. Slow motion works well. Battery life is comparably good, you get around 6 hrs of SOT from a full charge. I feel that's more than enough for a daily driver and works well for gamers. Charging is pretty fast you can charge the phone from 0 to 100 in 1 hr 20min.

I feel it's worth paying 40k for a premium phone like this, which offers good support for your OS and provides Android updates for 2 yrs. Rather than spending 25k+ for plastic and non premium phones. BTW this comes with no bloatware and is completely based on stock OS which contains a lot of tweaks and customizatios. That's the best part of the phone.
Go for it if you don't want to compromise !!"
30,"Don't buy this Mobile worst network connectivity also no support any service centres, in Maharashtra only 4 services centre unfortunately at my location 300 km from me I was so sad call centre suggest me you visit to service centre to resolve issues .....very slow browsing like 2G phones ...... camera is good but without connecting network it's like only photographer camera..."
31,"Pros: Hardware supports good speed and camera.
Cons: Screen unlock doesn't work most of the time. Fingerprint is not upto mark and takes a few tries. Also Google smart Lock is not working. There was a defect on the screen protector applied and Amazon says that they product will not be replaced and they cannot do anything about it. Oneplus says buy a new tempered glass and put it!! Fingerprint sensor is hardly able to cope with the normal plastic protector. I don't know how will it work with a thick one. This was the first time I had problem with a product from Amazon and they showed their true colors. Sameer goes for OnePlus."
32,Super nice
33,Phone is not working after update.I need immediate replacement or need my money back without further delay.
34,Great for all specs except for the battery life. Battery drains faster than expected. Without that totally worth it…
35,"If yuh are a Iphone user please stay away.,
Yu’ll definetely nt like it"
36,"Picture quality is good. Battery life is decent. Sound quality is okay. It's not a beast in any regards considering it's price and the flagship killer tag. You may miss the notification led and the 3.5 mm audio jack. The in screen fingerprint reader is a cool feature but surely feels that first gen not so smooth feature. It just gives you the feeling of not buying a finished product but a work in progress kind of a thing. Not many things to complaint about since it does give you good specifications for a decent price but.. it's no longer a flagship killer to stay. One plus may very well be the new apple. I'd hate to see that happen, but they're in the business for profit afterall. It can't always all be about the community. But I see them get run over by budget phones if their competition could maintain quality"
37,Everything is good about the phone except some software bugs like gestures dnt work flawlessly and i have issue with paint coming out from the top part of the phone near the ear piece
38,One plus 6 is better than 6t
39,"I just got the new one plus 6t. But not received all other accessories with it. Only received one charger , one protective case that s it. Type C to audio adapter is missing."
40,Very disappointed with slow mo camera quality. I wish I could return the phone.
41,"Worst product i ordered on 1st november 2018 at 00.01 hours i got the product but only ised 1 day and now the phone is not charging and the phone is dead.
Dint expect such a baaaaaaddd product.
I always used one plus but from now onwardd no one plus"
42,I just unlocked the speed today but it disappointed me I can't download apps it takes forever to download for a brand which promotes that it is very fast really disappointed.the battery also drains really fast really disappointed with the phone .I don't recommend this phone at all it also force close few apps after normal use of apps
43,battery drain issue
44,"I got this phone with a minor scratches on the pre installed screen protector, however I'm not sure if those are on the protector or the screen itself. I couldnt file a complain since I am travelling constantly. Will obviously reach out you guys once I'm getting back home."
45,"Please don't buy..gets heated, doesn't start
Customer care has no interest pls don't buy 6t worst one plus product"
46,The whole product is good but 36k is more for it
47,It is not worth for the money. Low light camera performance still low. 25K poco does equal to 6T. In display finger print is laggy. You definitely won't like it. Good battery life.Average display. Performance is good.
48,Build quality is good. Phone is looking handsome. Two things bothering me. one is notification light. There is no notification light on top of screen so I need to awake my phone everytime to check any message or so. Second thing is fingerprint sensor. It is very sensible I must say unlike the back one. I need to put my finger in proper way otherwise I won't be able to unlock my phone.
49,"The phone got stuck while using one of camera features. Its not even getting restarted. The screen is freezed thus, not allowing to proceed further. Hope i get a replacement soon."
50,"Takes too long to charge...took 80minutes to charge from 10%-96%.
Battery life went down from 100%to 10% in less than 20hours without much usage.
Fingerprint sensor not very receptive."
51,I have not received headphones as promised by pre book OnePlus 6t
52," Picture quality zero third class
 Heat while charging
heat issue while playing game like pubg
 Slipry grip
 Heavy weight
 Camera in night also wrost
 When you zoom picture taken by 6t shows the blur images and red eyes
 There lack of A. I artificial intelligence
 Face lock security is totaly unsafe i tried open with my passport size foto & opend screen lock
 Battery life is good fast charging but heating issue also
 No headfone jack you have to manage with charging jack adapter of headfone
I return after using 2 days & thanks to amazone to refund on time and saves my money by return / refund policy"
53,"Speaker is not working, not happy with the product. I have placed request for replacement but haven't received any confirmation from Amazon yet. Very disappointed."
54,"If you are a op5,op5t or op6 user it is not worth upgrading
cons of oneplus 6t:
1 the indisplay fingerprint is way too slow and does not work always
2 the phone still has some network connectivity issues(s/w upgrades may fix them)
3 phone works fast BUT expensive for the price and lacks good features like IR blaster,gloves mode, only limited gestures
4 it seems interesting for a week, later its just a normal budget phone
5 the low light photos in 'nightscape' is still bad,overall camera is just OK(not as hyped )
Pros:
1 Phone feels more premium than Rs.25,000 phones but still does not provide the vibe of apple or samsung(note & S series)
2 has good customer care support (especially online)
3 the software(oxygen OS) is really smooth,no lags at all
for those looking for phones for at least 2-3 years of usage,if possible wait for oneplus 7
hope to see a triple rear camera and 5G on oneplus7"
55,"Coming from OnePlus 2, this is a huge upgrade. So I liked many things about this phone. Amazing display. I'm not a notch fan but this is the cutest notch I've seen. Absence of 3.5mm jack might be a let down for many fans including me and I still don't agree with their decision. There is no LED notifications also.

Performance wise there's no need of even comparing because this is the best (SD845+OxygenOS+8GB RAM = TRUE WONDER).

Didn't get a chance to test the camera much, so no comments on the camera.

Some might face problems with fingerprint scanner but register them properly and you would not get any problems. I had none till now.

I didn't think that the case in the box would be so good. It's very nice and I've seen phone dropping from 10ft not breaking with this case.
Many intrusive ads are comparing this with Pocophone F1. I just laugh at them. OnePlus has a way more premium feel than Pocophone."
56,"Best phone !!!
In love with the fingerprint scanner and it's animation !
Battery lasts one day !
Industry leading camera with studio mode works fantastic !
Catchy display !
Fast like a flash !
Great Value for money !!!!!"
57,"Received faulty piece of mobile, battery can't even last for 6 hours, I am going to return it"
58,"very poor product from one plus and neither amazon is replacing the device battery didn't last long much not even 5 or 6 hours the device is malfunctioning like opening apps on it's own and volume is increasing or decreasing on it's own
not satisfied with the product"
59,"There are two speakers in One Plus 6T, One speaker is not working"
60,"DESIGN:
If you thinking that OnePlus 6 and 6T has no major difference than you are absolutely wrong and highly mistaken if you thing 6 is better than 6T. Price hike is completely justified.

Visible differences between 6 & 6T:
Higher screen to body ratio, Gorilla Glass 6, in-display fingerprint scanner, taller, water-drop notch. 3700mAh battery.

Technical advancement:
Advance AI which smartly uses your RAM and ROM which actually boosts the performance, Better heat-sink than 6.

CAMERA:
I took my canon 1300D with two lens; portrait and 18-55 and OnePlus6T for comparison test. OnePlus 6T provided better results when both on Auto-mode. It has amazing contrast, perfect saturation; but the thing where it stood-out from others its it night picture quality. It does wonders even if there is almost no light and that is some magic over there. Front camera absolutely stunning and comes with screen flash for low light selfies.
BATTERY:
Battery charging- 0 to 65% in 30 mins and at 45 min it reaches 86%. Full charge by 1hr8 mins when internet, Bluetooth and wifi off. On heavy use it survives 8 hrs (I watched 2 movies in HD with 50% screen brightness and 1 hour PubG gaming on HD, 1 hour YouTubing). On average usage, 17 hours very smoothly(casual social media surfing, browsing, camera usage about 5 to 6 pictures using flash). Without internet usage at all and battery saver on, it can go whooping 3 DAYS !

SPEAKERS:
External speakers are loud, I mean really very loud. Hearing speaker is very cool by its looks and loud too. Volume rockers and power switch is perfectly hard.

SECURITY:
Though I feel face detection is worst type of security because it has many drawbacks, its quick. And finger print scanner is also faster than its competitors. The part which irritates is that while using at night in dark, for face and fingerprint detection, the display gets 100% to scan which is very annoying and very uneasy for eyes."
61,"I am a big fan of Apple. Have been using Iphone from last 5 years. Wanted to change the phone to the new one. But not much of Innovation from Apple. So, I switched to Oneplus and Oneplus 6T was a best replacement.
The OnePlus 6T brings new technology and worthwhile improvements to the table making this the best phone from OnePlus yet.
Design: Just gorgeous - the curve of the camera bump is more of a design accent than a notch. The phone has a huge 6.41 in screen, but is still easily managed with one hand. The color is amazing - Mirror Black. The 6T feels like it was meant to fit in my hand. The first party OnePlus cases accent the amazing design and make it even more comfortable. When you hold the phone, you will know exactly what I mean!

Battery: Lasts more than a day with heavy use. I can get almost 6 hrs of screen on time even after watching YouTube, gaming, and general usage. Even better, the included dash charger fills the battery extremely quickly. No wireless charging, but I don't even miss it.

Camera: Solid - 4K 60FPS video looks great. Other phones in this price range can't even touch the quality of the camera for pictures. Night shot is solid, looking forward to Future tweeks to prevent the blown out appearance when some light is present.

Sound: Probably the only change I would make. The since downward firing speaker is easy to block. The quality is great - would love to see the dual speaker in the next OnePlus phone.

While you could say that OnePlus has made some sacrifices in developing the OnePlus 6T, they all seem rather subjective. Sure it’s a slightly bigger, thicker, heavier phone than the 6 but if that means a bigger battery with better longevity is it really a loss?
The headphone jack’s absence is annoying for some but the phone comes with an adapter and the in-display fingerprint sensor might not have fit in the same footprint otherwise."
62,Super
63,Damaged
64,"Phone functions are nice. Battery performance is not lasting good. Battery is dying very rapidly. I am changing full charge twice in 24hrs still battery is getting down to 19%. Most funny part is that I am hardly using my phone. This is very depressing after paying such a big amount (hard earned money) of Rs. 38000/- and battery performance is so much poor.
Spoken to the Amazon technical support for this. They have done some online test through some app and get to know that something is wrong with this phone battery and told me for the ""BRAND NEW REPLACEMENT PHONE"" on Monday 5th November 2018. I have received my phone on 2nd Nov and spoken to Amazon technical support engineer on 3rd Nov. Although I haven't received any email / SMS from Amazon yet. I can trust them on there words and will receive brand NEW REPLACEMENT PHONE on 5th November itself."
65,I purchased one plus 6t on nov 1st and gor it delivered on nov 3rd. Everything is fine but touch is not functioning properly at the corners of diaplay. Didn't expect such issue with onw plus
66,"Hello Guys,
I am using this phone past 2 days over all phone is good its worth to buy. But there are some issues which i am mentioning below.
1- battery is not so good, its draning fast not so fast but ya fast.
2- there is no am -pm in clock which very basic function in every damn phone.
3- you can face internet problem may be your sim doesn't support the handset. But there is issue.
4- performance what i was expecting is not top notch what company claiming. You can get same kind of speed in 20k phone easily.
5- lastly the finger scanning lock is not so fast, sometimes it takes 2-3 attempts.
Guys this is my geniune report about this phone. I m very much fan of oneplus family. But 2 times i took wrong decisions 1- for oneplus 5 it was a worst phone and
2- OnePlus 6t actually its not a worst phone but i was expecting a top notch speed. But OnePlus 6t not match that level.
If you have budget to buy and you want it anyhow than you can go for it.... Otherwise there are lots of better options. Available in market in 20k which match almost same quality & look. So don't waste your money if you don't have much in your pocket. Don't push your self to buy this phone.
I am give this phone 3 star just bcz its not that bad but its not that good. Now choices upto you."
67,Best pH ever..👍👍👌👌
68,"Adding another call, when a call is already in progress is night mare. Either app crashes or it doesnt allow. During phone call disabling blue tooth is not posisble. I see lot of UI issues. God only why people were so hyped about this phone. its not doing what 7000rs Samsung phone does. Please don't buy this phone and waste your money."
69,I got a defective product
70,"Things are not the same as promoted, I bought this on 2nd Nov, look wise its good, sound is also loud, its just loud nothin else, battery has just improved marginally if you keep your location on and play some game or video, it will be low very soon. Ofcourse at the end it will hang little longer but not as expected. Display Hangs!! Yes!!! this phone hangs even with 8gb RAM, have faced it few times even in first 10 days. Worst part is the front screen lock is too too slow, even i have to use pin code most of the time. Overall the phone launch was just a hype but the performance is not upto the expectation!!!"
71,38000 price not good
72,very bad
73,"I am using oneplus 6t phone from 1st of November and I am facing issue with camera when I m using camera with flash then image taking blur and in yellow colour this issue I am facing after updating oneplus 6t phone
"
74,Add/ enable proper always on display.. without LED notification light we can't see notification.. really not satisfied disabled always on display/Ambiant display…
75,As the slogan says never settle....proper flagship killer
76,"Battery life is better. Picture quality is good. Sound quality is also reasonably good but definitely not the best among its competitors. Having said that, this phone is really really fast. Display is awesome. Dash charger is wow as usual."
77,I like this product very much
78,"Purchased with great excitement but disappointed the day i got this phone.. Being a flagship killer, i never expected this phone to face heat issues even with a normal usage..the same problem didn't arise with my brother's phone which he took on the same day... Apps didn't download but some how solved that issue later.. And now some apps are force closing and not working.. Remaining features live upto the mark. But being a oneplus fan, my expectations were sky-high about the 6t..slightly disappointed but not a big deal.. Can adjust with this."
79,picture quality is worst
80,Worst service from amazon.never expected this.lost believe in this.they delivered defective piece and not providing the replacement for this.Horrible ecperience
81,"No headphone jack! Just bigger battery and water drop notch. No camera improvement, below expectations.... Don't buy this phone just wait for oneplus7 ( hope some exiting features)... If you have oneplus 6 then don't buy it because no major ( even minor) improvement in it ( 6 is better than 6t) and if you are not a oneplus user then also don't buy it. I was so excited about this phone but disappointed."
82,Never buy this phone worst experience ever hopless phone
83,"For the cost , this is one value for money product. It is feature rich and perfect for a person like me. Am an avid foodie and traveller. This is a perfect phone to capture what I want whenever I want . And with amazing clarity. Also amazing speed . I became a fan with OnePlus 3 and this one has be convinced that this is one of the best smart phone options out there."
84,"pros:-1.gorilla glass 6
2.battery3700mah,
3.fast face unlock,
4.overall good quality camera,
5.no bloatware like samsung or mi phones,
6.fast performance with 6/8 gb ram ,and 845 processor,
7.128/256 gb storage,
8.optic amoled display,
9.both side glass with aluminium frame (with a free case),
10.fast fingerprint unlock(fixed with a software update),
11.fast charging with dash charger,
12.monthly security patch,and few major android update will expected to arrive in next few years,which is a big credit for oneplus.
13.no overheating issue,
cons:-1.battery drains fast,
2.no 3.5mm jack,
3.no stereo speaker
4.portrait mode photos are always not so good."
85,"The OnePlus 6T is undeniably the most advanced and accomplished phone from the company till now. The OnePlus 6 is still good, but the 6T gives it a boost in the battery department and a fancy way to unlock at a perfect price.
Cons :
Concern is the notification led light. we are not sure whether battery is 100% while charging. Single touch display to see notification is beautiful.
One plus should have added the charge + 3.5 jack in type c converter. which would be added value for those who watch movie or listen song while charging."
86,"Battery is terribly bad.
On round edges I lose the display as it cuts the actual view.
Sometimes AutoRotate does not work. I have to restart the mobile."
87,The discount could have been more
88,"I have purchased this phone and trusted amazon for over 2 years but now i am feeling stunned with the product quality.This phone gets switch off sometimes and getting ON only by hard rebooting but when i tried to return it , first a 3rd party app told me that your phone is all right. So if this kind of service is provided by amazon then i am not gonna do any kind of purchase from amazon.This is very bad.Worst service by amazon"
89,"Airtel Sim not working on new oneplus6t, Pathetic.
However other carriers are working"
90,I did prebook but I don't get bullet earphones
91,Not worth of price
92,"I have used two days and phone is good with speed and multi tasking but camera is worst, it did not meet even a normal 10000 rupees phone camera feature. I am planning to sell it out in OLX. Oneplus should stop increasing the phone size, since phone is slippery in the hand with 6.41 inches, always 6 or less than 6 inches phones are good to carry and handy."
93,Best phone i ever had
94,"I am experiencing very difficulty in receiving calls and I'm conversation with my callers THROUGH AIRTEL since it is being used for official purpose. In the 2nd slot BSNL sim. Although it is working but sometimes it also giving similar problem. Sound quality is poor, using full volume is require to hear the caller voice. I tried my best to exchange the device within the return period but failed as I experienced very difficulty in replacing the product with AMAZON THIS TIME.
MY PRESENT STATUS IS THAT SOME HOW I HAVE TO DISPOSED IT.
I FIND MORE BETTER WITH MY REDMI NOTE 5 PRO.
I am just waiting for 15-20 days as ONE PLUS CUSTOMER SERVICE CENTRE INFOM ME THAT IT WILL BE QUITE ALRIGHT AFTER AN UPGRADATION WICH IS ABOT TO COME WITHIN THE ABOVE TIME.
However, I can only say that being a prime member I maintained a higher expectations but disappointed. SORRY."
95,Hanging problem selfi camera not good
96,"Made a huge mistake in buying this phone.
Apple is far far far far far and far and again far better.
Best part amazon didn't accept for return"
97,good
98,"Annoyed by Amazon,i got a defective OnePlus 6t and Amazon is replacing it, and giving me excuse about seller. Its a suicide purchase for me.on screen fingerprint sensor is not working in my OnePlus 6t..and while setting fingerprint sensor it get swithed off with a loud beep sound..its kind of scary for me..pls help me guys what to do..i belong from small town..i hardly earn 20000. And i bought OnePlus 6t on a friend recommendation..i hv already sold my old phone.this is the only phone i am left with..and its a defective one..i bought it a the time of diwali when i got my salary in advance.. now my salary will come in last week of December.. i have been calling Amazon customer care from the day i purchased it and still no solutions.. feeling low..i hv given all my hard earned money buying this..dont know what to do..pls guide me.. Amazon pls help me..i m begging you."
99,"Pictures taken in daylight are decent. However, pictures taken during night are really really bad and the night mode doesn't give you the sort of pictures you would expect from an top end phone. Sound clarity over the calls is pretty bad. Battery life is decent at best. Now, coming to the in display fingerprint sensor it doesn't work all the time. It's way too slow and doesn't respond most of the time."
100,Lovely mobile... Simply love it.
101,Awesome phone midnight black is looks more beautiful
102,"I have been using this device for over a week now and so far it has turned out to be a beast of a device. Here are my observations:
1. The in-display screen unlocker: It is flawed. Takes a bit of a time to unlock and you have to place the finger properly. But this was not that big of a deal, since the face unlocking is supremely fast. Its a novelty kind of thing. looks nice when it works. 4/5 for this
2. Camera: my previous device was OP 5t. The picture quality has increased manifold. Nightscape, studio lighting and ultra slo-mo video works like a charm. 5/5 for this
3. Battery life: the first day, the device got slightly heated when i used oneplus switch so the battery drained quickly. But over the week, it has given me wonderful battery backup. No heating issue. With average to heavier usage, it still gave me 1.5 days backup. The charging is very fast. 40 minutes to charge from 10 to 95%. More than sufficient. 4.75/5 for this
4. Speaker: Only one speaker is present, but it gives out very loud output. Gives very good clarity and loud ringing. No complaints or issues regarding this. 5/5
5. OS: It is the cleanest and simplest OS yet. Lots and lots of customization, minimum bloatware. clean interface. in OP5T, the messaging app did not differentiate between marketing related messages and actual messages. fortunately, this phone has that capability. Loved the gestures as well. Optimizations are also great new feature. 5/5
6. Build: All one plus devices are wonderfully built and 6T is no exception. Even though the glass back is there, I didnt find any slippage. Of course I am using the back cover which is already provided with the phone now. But I think it has much better grip than the other phones. 5/5

Bottom line is that this is a device which you would want to own for a long time. Most of the budget phones start developing problems within 1 year of manufacturing, but that has not been my experience with One plus devices. Even after more than 1 year of using OP 5T, I still got the same performance I was getting during my first month with it. 6T is slightly costly but completely worth it in my opinion."
103,just superb
104,"Bad camera quality
I'm not satisfied with product take return"
105,"I waited for a long time for the Oneplus 6T model launch. I purchased it with lots of expectations and I am happy that it met my most of the expectations. I purchased Oneplus 6T 128gb and 6gb RAM version mirror black phone.

Pros :-

1) Super fast processor- can play large games without any glitch.

2) Camera is super amazing. However in the night mode, the pictures are sometimes hazy. Overall it is good.

3) The phone is damn beautiful. The back of the phone is simply outstanding. Notch also looks cute.

4) Fingerprint sensor is working fine.

5) Sound quality is good. The speakers are loud and bass is also good. However, the company should have launched it with dual speakers. It would have been phenomenal.

6) The company has increased the battery size. It gives a backup of atleast 1.5 days with normal usage.

Cons:-
1) NO HEADPHONE JACK. The company was making fun of Apple for removing the headphone jack, but they did the same. I just have a doubt that how will I charge my phone and watch a movie via earphones at the same time. I have to buy an external adapter which will put a dent on my pocket again.

2) If I am holding my phone and have put my thumb impression as my Fingerprint phone unlock option. Then sometimes it is difficult to unlock the phone. Coz while holding the phone I have to put my thumb straight which is quite difficult.

3) The night mode of the camera needs improvement.

4) No dual speaker.

Conclusion:

It is a nice phone with brilliant specifications. It easily beats some of the high end phones of Apple , Samsung and LG and others. So you may go for it."
106,"Here is my review of op6 McLaren Edn after 4 days of uses.
Camera is excellent, takes outstanding pictures. Sound quality is ok but not at par. Oneplus could have done better.
Battery life is phenomenal. Lasts for almost 30 hours with 10 hours of screen on time. Running 4g all the time.

The one and only con that I observed is internet speed is very slow . I saw someone's review before buying this phone that network strength is very good compared to other phones and indeed it is. But inspite of having good signals, the 4g internet speed is very slow. And I mean very slow like 2g. McLaren doesn't stand up to its name. Did all the tricks, read all the forums about the solution but nothing worked. Same sim is giving excellent speed in another phone.
I feel like cheated. Whats the point keeping superfast phone if you cannot have a fast internet.
Won't recommend anyone to buy this phone."
107,"I have bought OnePlus6T, its not a true value for money.

As per the price my ratings are as follows:
Music Quality 2/5.
Picture Quality 4/5 as compared to other mobile and 3/5 as compared to point and shoot cameras.
Sound Quality - 4.5/5
Settings and other user friendly features - 3/5 Samsung is better than this.
Availability of accessories 2/5, the accessories are costly and not easily available as well.
Bugs are also there, which company is not able to fix till now."
108,Phone is awesome camera check display check battery check... There is minor glitch with play store it is pathetic to download a new app as they always shows downloading or download pending.... Hope OnePlus will fix this…
109,"Overall amazing product for the price point .. but now its on the edge. One plus has been slowly increasing prices year on year and now they are in INR40K range. Further one or more price hikes and people will start going back to Flagship companies. Lets hope they keep it as Value for money.

Regarding phone:
Superb edge to edge display & battery life - No complaints here. 1080P screen is crisp enough and gives good battery life. Notch is actually just tiny camera and bottom chin has become further thinner.
Software: Oxygen OS - as usual its clean and gives stock experience with few customizations. Since phone has been just launched have experienced few bugs, but lets hope one plus gives quick updates to solve these.
Build Quality/looks: Thumbs Up! to OnePlus. Glass black and body design does give premium feel. But somehow felt phone is on heavier side (I have switched from OnePlus5 to OnePlus6T and definitely there's noticeable difference in weight).
Fingerprint scanner: Works well most of the times but not as fast as physical fingerprint scanners we have been used to of earlier phones. If screen gets smudgy you will have problem of unlocking device as it requires clean surface to work.
Only cons, I have experienced in this phone are No headphone jack and LED notification light. Most useful part of LED light was of charging notification. Now you have to wake screen and check. For headphones you do get C-Type connector but as it sounds ""No 3.5mm headphone Jack"" - nothing to describe here.

But overall its a good package and still its a Value for money! You can go for it for sure."
110,"Brought it on 3rd Nov. Attached is the list of issue
- GPS turn on automatically
- Bluetooth turn on Automatically
- Chrome hangs very now and then
- Screen Cast does not work / takes ages to connect
- InScreen fingerprint scanner is worst

Online support could not solve the problem , and ask to visit service center
Being the premium brand they have only 3 service center (???) in city like bangalore . One visit to MG Road will cost me whole day of my time. Just thinking again was it a good choice at all ???"
111,"Picture quality is not up to the mark, it's not as per the description given. Need to work hard on the same. Pic gets blurred when we zoom the camera. It states 20mp camera, but I don't think so that actually is."
